numerator,denominator,apc,se,n_obs,design,spending_category,spend_category_unemp,spend_category_emp
Spend (cardcash),ui,0.001,0.003,249652,$300 onset,Hotels_&_Rental_cars,46.457907472776235,52.53747380601725
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (cardcash),income,0.005,0.002,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (cardcash),ui,0.007,0.003,129293,$300 expiration Sept states,Hotels_&_Rental_cars,77.14563139929544,54.75640448619911
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (cardcash),income,0.011,0.004,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (cardcash),ui,0.01,0.004,121994,$300 expiration June states,Hotels_&_Rental_cars,75.05712151379612,61.32856292770009
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (cardcash),income,0.018,0.005,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (cardcash),ui,0.01,0.003,47623,$300 expiration June vs. Sept states,Hotels_&_Rental_cars,70.98512620641624,61.32856292770009
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (cardcash),income,0.003,0.001,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (cardcash),ui,0.003,0.001,52094,UI onset (waiting),Organizations_&_Institutions,34.13162482084764,41.31137455913473
Spend (total),income,0.319,0.009,309077,FPUC expiration,Organizations_&_Institutions,44.33659895865739,44.16005316861488
