numerator,denominator,apc,se,n_obs,design,spending_category,spend_category_unemp,spend_category_emp
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Department_Stores,18.955908569034033,17.879956808489506
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Department_Stores,18.955908569034033,17.879956808489506
Spend (cardcash),income,0.002,0.001,121994,$300 expiration June states,Department_Stores,18.955908569034033,17.879956808489506
Spend (cardcash),ui,0.002,0.001,121994,$300 expiration June states,Department_Stores,18.955908569034033,17.879956808489506
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Department_Stores,23.71454276770664,17.879956808489506
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Department_Stores,23.71454276770664,17.879956808489506
Spend (cardcash),income,0.001,0.001,47623,$300 expiration June vs. Sept states,Department_Stores,23.71454276770664,17.879956808489506
Spend (cardcash),ui,0.001,0.001,47623,$300 expiration June vs. Sept states,Department_Stores,23.71454276770664,17.879956808489506
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Discount_Stores,76.90077901140943,67.83093110745357
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Discount_Stores,76.90077901140943,67.83093110745357
Spend (cardcash),income,0.012,0.001,52094,UI onset (waiting),Discount_Stores,76.90077901140943,67.83093110745357
Spend (cardcash),ui,0.009,0.001,52094,UI onset (waiting),Discount_Stores,76.90077901140943,67.83093110745357
Spend (total),income,0.319,0.009,309077,FPUC expiration,Discount_Stores,86.96720386044889,68.72054888775949
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Discount_Stores,86.96720386044889,68.72054888775949
Spend (cardcash),income,0.008,0,309077,FPUC expiration,Discount_Stores,86.96720386044889,68.72054888775949
Spend (cardcash),ui,0.005,0,309077,FPUC expiration,Discount_Stores,86.96720386044889,68.72054888775949
Spend (total),income,0.305,0.017,249652,$300 onset,Discount_Stores,91.20322188365564,59.25024742268042
Spend (total),ui,0.457,0.026,249652,$300 onset,Discount_Stores,91.20322188365564,59.25024742268042
Spend (cardcash),income,0.009,0.001,249652,$300 onset,Discount_Stores,91.20322188365564,59.25024742268042
Spend (cardcash),ui,0.014,0.001,249652,$300 onset,Discount_Stores,91.20322188365564,59.25024742268042
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Discount_Stores,100.12532853440966,73.69636734396622
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Discount_Stores,100.12532853440966,73.69636734396622
Spend (cardcash),income,0.007,0.001,129293,$300 expiration Sept states,Discount_Stores,100.12532853440966,73.69636734396622
Spend (cardcash),ui,0.009,0.001,129293,$300 expiration Sept states,Discount_Stores,100.12532853440966,73.69636734396622
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Discount_Stores,91.61884597469636,73.36744024595855
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Discount_Stores,91.61884597469636,73.36744024595855
Spend (cardcash),income,0.007,0.001,121994,$300 expiration June states,Discount_Stores,91.61884597469636,73.36744024595855
Spend (cardcash),ui,0.007,0.001,121994,$300 expiration June states,Discount_Stores,91.61884597469636,73.36744024595855
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Discount_Stores,103.97553178178102,73.36744024595855
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Discount_Stores,103.97553178178102,73.36744024595855
Spend (cardcash),income,0.006,0.002,47623,$300 expiration June vs. Sept states,Discount_Stores,103.97553178178102,73.36744024595855
Spend (cardcash),ui,0.003,0.001,47623,$300 expiration June vs. Sept states,Discount_Stores,103.97553178178102,73.36744024595855
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Telecom,102.55980205330518,114.3533576299083
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Telecom,102.55980205330518,114.3533576299083
Spend (cardcash),income,0.005,0.001,52094,UI onset (waiting),Telecom,102.55980205330518,114.3533576299083
Spend (cardcash),ui,0.004,0,52094,UI onset (waiting),Telecom,102.55980205330518,114.3533576299083
Spend (total),income,0.319,0.009,309077,FPUC expiration,Telecom,108.97499249939179,110.84910382214576
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Telecom,108.97499249939179,110.84910382214576
Spend (cardcash),income,0.003,0,309077,FPUC expiration,Telecom,108.97499249939179,110.84910382214576
Spend (cardcash),ui,0.002,0,309077,FPUC expiration,Telecom,108.97499249939179,110.84910382214576
Spend (total),income,0.305,0.017,249652,$300 onset,Telecom,117.12538175767617,107.29584557121818
Spend (total),ui,0.457,0.026,249652,$300 onset,Telecom,117.12538175767617,107.29584557121818
Spend (cardcash),income,0.003,0.001,249652,$300 onset,Telecom,117.12538175767617,107.29584557121818
Spend (cardcash),ui,0.004,0.001,249652,$300 onset,Telecom,117.12538175767617,107.29584557121818
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Telecom,117.58974120034598,109.81717646202026
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Telecom,117.58974120034598,109.81717646202026
Spend (cardcash),income,0.002,0.001,129293,$300 expiration Sept states,Telecom,117.58974120034598,109.81717646202026
Spend (cardcash),ui,0.003,0.001,129293,$300 expiration Sept states,Telecom,117.58974120034598,109.81717646202026
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Telecom,117.64385942495316,126.45429534860656
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Telecom,117.64385942495316,126.45429534860656
Spend (cardcash),income,0.001,0.001,121994,$300 expiration June states,Telecom,117.64385942495316,126.45429534860656
Spend (cardcash),ui,0.001,0.001,121994,$300 expiration June states,Telecom,117.64385942495316,126.45429534860656
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Telecom,118.90047546396957,126.45429534860656
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Telecom,118.90047546396957,126.45429534860656
Spend (cardcash),income,0.002,0.001,47623,$300 expiration June vs. Sept states,Telecom,118.90047546396957,126.45429534860656
Spend (cardcash),ui,0.001,0.001,47623,$300 expiration June vs. Sept states,Telecom,118.90047546396957,126.45429534860656
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Healthcare,28.066880359203537,44.6831662355984
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Healthcare,28.066880359203537,44.6831662355984
Spend (cardcash),income,0.003,0.001,52094,UI onset (waiting),Healthcare,28.066880359203537,44.6831662355984
Spend (cardcash),ui,0.002,0.001,52094,UI onset (waiting),Healthcare,28.066880359203537,44.6831662355984
Spend (total),income,0.319,0.009,309077,FPUC expiration,Healthcare,42.15795005296629,43.74041766032032
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Healthcare,42.15795005296629,43.74041766032032
Spend (cardcash),income,0.004,0,309077,FPUC expiration,Healthcare,42.15795005296629,43.74041766032032
Spend (cardcash),ui,0.003,0,309077,FPUC expiration,Healthcare,42.15795005296629,43.74041766032032
Spend (total),income,0.305,0.017,249652,$300 onset,Healthcare,49.19945747014784,40.98944456132969
Spend (total),ui,0.457,0.026,249652,$300 onset,Healthcare,49.19945747014784,40.98944456132969
Spend (cardcash),income,0.002,0.001,249652,$300 onset,Healthcare,49.19945747014784,40.98944456132969
Spend (cardcash),ui,0.003,0.001,249652,$300 onset,Healthcare,49.19945747014784,40.98944456132969
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Healthcare,54.22106811066778,42.347954992353074
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Healthcare,54.22106811066778,42.347954992353074
Spend (cardcash),income,0.003,0.001,129293,$300 expiration Sept states,Healthcare,54.22106811066778,42.347954992353074
Spend (cardcash),ui,0.004,0.001,129293,$300 expiration Sept states,Healthcare,54.22106811066778,42.347954992353074
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Healthcare,55.74990772109794,52.450797381731626
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Healthcare,55.74990772109794,52.450797381731626
Spend (cardcash),income,0.006,0.002,121994,$300 expiration June states,Healthcare,55.74990772109794,52.450797381731626
Spend (cardcash),ui,0.005,0.001,121994,$300 expiration June states,Healthcare,55.74990772109794,52.450797381731626
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Healthcare,59.15156706999666,52.450797381731626
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Healthcare,59.15156706999666,52.450797381731626
Spend (cardcash),income,0.007,0.002,47623,$300 expiration June vs. Sept states,Healthcare,59.15156706999666,52.450797381731626
Spend (cardcash),ui,0.004,0.001,47623,$300 expiration June vs. Sept states,Healthcare,59.15156706999666,52.450797381731626
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Utilities,132.91720407570355,152.1719722313659
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Utilities,132.91720407570355,152.1719722313659
Spend (cardcash),income,0.003,0.001,52094,UI onset (waiting),Utilities,132.91720407570355,152.1719722313659
Spend (cardcash),ui,0.002,0.001,52094,UI onset (waiting),Utilities,132.91720407570355,152.1719722313659
Spend (total),income,0.319,0.009,309077,FPUC expiration,Utilities,173.32840340754126,162.52616067868155
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Utilities,173.32840340754126,162.52616067868155
Spend (cardcash),income,0.006,0,309077,FPUC expiration,Utilities,173.32840340754126,162.52616067868155
Spend (cardcash),ui,0.005,0,309077,FPUC expiration,Utilities,173.32840340754126,162.52616067868155
Spend (total),income,0.305,0.017,249652,$300 onset,Utilities,175.82890432230096,159.21039719124744
Spend (total),ui,0.457,0.026,249652,$300 onset,Utilities,175.82890432230096,159.21039719124744
Spend (cardcash),income,0.002,0.001,249652,$300 onset,Utilities,175.82890432230096,159.21039719124744
Spend (cardcash),ui,0.004,0.001,249652,$300 onset,Utilities,175.82890432230096,159.21039719124744
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Utilities,183.87375473530827,166.69171975821112
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Utilities,183.87375473530827,166.69171975821112
Spend (cardcash),income,0.005,0.001,129293,$300 expiration Sept states,Utilities,183.87375473530827,166.69171975821112
Spend (cardcash),ui,0.006,0.001,129293,$300 expiration Sept states,Utilities,183.87375473530827,166.69171975821112
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Utilities,182.46740139953545,195.50953133987878
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Utilities,182.46740139953545,195.50953133987878
Spend (cardcash),income,0.005,0.001,121994,$300 expiration June states,Utilities,182.46740139953545,195.50953133987878
Spend (cardcash),ui,0.005,0.001,121994,$300 expiration June states,Utilities,182.46740139953545,195.50953133987878
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Utilities,171.6988124786978,195.50953133987878
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Utilities,171.6988124786978,195.50953133987878
Spend (cardcash),income,0.001,0.002,47623,$300 expiration June vs. Sept states,Utilities,171.6988124786978,195.50953133987878
Spend (cardcash),ui,0.001,0.001,47623,$300 expiration June vs. Sept states,Utilities,171.6988124786978,195.50953133987878
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Transit_&_Ground_Transportation,72.38283049500068,172.30164354573245
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Transit_&_Ground_Transportation,72.38283049500068,172.30164354573245
Spend (cardcash),income,0.005,0.001,52094,UI onset (waiting),Transit_&_Ground_Transportation,72.38283049500068,172.30164354573245
Spend (cardcash),ui,0.004,0,52094,UI onset (waiting),Transit_&_Ground_Transportation,72.38283049500068,172.30164354573245
Spend (total),income,0.319,0.009,309077,FPUC expiration,Transit_&_Ground_Transportation,113.90194592270171,161.8186779519658
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Transit_&_Ground_Transportation,113.90194592270171,161.8186779519658
Spend (cardcash),income,0.002,0,309077,FPUC expiration,Transit_&_Ground_Transportation,113.90194592270171,161.8186779519658
Spend (cardcash),ui,0.002,0,309077,FPUC expiration,Transit_&_Ground_Transportation,113.90194592270171,161.8186779519658
Spend (total),income,0.305,0.017,249652,$300 onset,Transit_&_Ground_Transportation,110.97297685116474,128.09473974332002
Spend (total),ui,0.457,0.026,249652,$300 onset,Transit_&_Ground_Transportation,110.97297685116474,128.09473974332002
Spend (cardcash),income,-0,0.001,249652,$300 onset,Transit_&_Ground_Transportation,110.97297685116474,128.09473974332002
Spend (cardcash),ui,-0,0.001,249652,$300 onset,Transit_&_Ground_Transportation,110.97297685116474,128.09473974332002
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Transit_&_Ground_Transportation,166.67242856955988,150.88689461801764
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Transit_&_Ground_Transportation,166.67242856955988,150.88689461801764
Spend (cardcash),income,0.005,0.001,129293,$300 expiration Sept states,Transit_&_Ground_Transportation,166.67242856955988,150.88689461801764
Spend (cardcash),ui,0.007,0.001,129293,$300 expiration Sept states,Transit_&_Ground_Transportation,166.67242856955988,150.88689461801764
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Transit_&_Ground_Transportation,168.7397384463203,170.18184964792226
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Transit_&_Ground_Transportation,168.7397384463203,170.18184964792226
Spend (cardcash),income,0.004,0.001,121994,$300 expiration June states,Transit_&_Ground_Transportation,168.7397384463203,170.18184964792226
Spend (cardcash),ui,0.004,0.001,121994,$300 expiration June states,Transit_&_Ground_Transportation,168.7397384463203,170.18184964792226
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Transit_&_Ground_Transportation,156.5876975391857,170.18184964792226
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Transit_&_Ground_Transportation,156.5876975391857,170.18184964792226
Spend (cardcash),income,0.005,0.002,47623,$300 expiration June vs. Sept states,Transit_&_Ground_Transportation,156.5876975391857,170.18184964792226
Spend (cardcash),ui,0.003,0.001,47623,$300 expiration June vs. Sept states,Transit_&_Ground_Transportation,156.5876975391857,170.18184964792226
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Professional_&_Personal_Services,64.7153369160905,95.71688925464377
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Professional_&_Personal_Services,64.7153369160905,95.71688925464377
Spend (cardcash),income,0.008,0.001,52094,UI onset (waiting),Professional_&_Personal_Services,64.7153369160905,95.71688925464377
Spend (cardcash),ui,0.006,0.001,52094,UI onset (waiting),Professional_&_Personal_Services,64.7153369160905,95.71688925464377
Spend (total),income,0.319,0.009,309077,FPUC expiration,Professional_&_Personal_Services,82.06199215601849,93.31182271915765
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Professional_&_Personal_Services,82.06199215601849,93.31182271915765
Spend (cardcash),income,0.005,0.001,309077,FPUC expiration,Professional_&_Personal_Services,82.06199215601849,93.31182271915765
Spend (cardcash),ui,0.004,0,309077,FPUC expiration,Professional_&_Personal_Services,82.06199215601849,93.31182271915765
Spend (total),income,0.305,0.017,249652,$300 onset,Professional_&_Personal_Services,84.26971695358728,82.92461119293078
Spend (total),ui,0.457,0.026,249652,$300 onset,Professional_&_Personal_Services,84.26971695358728,82.92461119293078
Spend (cardcash),income,0.006,0.001,249652,$300 onset,Professional_&_Personal_Services,84.26971695358728,82.92461119293078
Spend (cardcash),ui,0.009,0.002,249652,$300 onset,Professional_&_Personal_Services,84.26971695358728,82.92461119293078
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Professional_&_Personal_Services,99.04838335786023,89.68806132109825
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Professional_&_Personal_Services,99.04838335786023,89.68806132109825
Spend (cardcash),income,0.006,0.001,129293,$300 expiration Sept states,Professional_&_Personal_Services,99.04838335786023,89.68806132109825
Spend (cardcash),ui,0.008,0.001,129293,$300 expiration Sept states,Professional_&_Personal_Services,99.04838335786023,89.68806132109825
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Professional_&_Personal_Services,98.118702446605,104.87545869284935
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Professional_&_Personal_Services,98.118702446605,104.87545869284935
Spend (cardcash),income,0.009,0.002,121994,$300 expiration June states,Professional_&_Personal_Services,98.118702446605,104.87545869284935
Spend (cardcash),ui,0.009,0.002,121994,$300 expiration June states,Professional_&_Personal_Services,98.118702446605,104.87545869284935
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Professional_&_Personal_Services,110.70275561396582,104.87545869284935
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Professional_&_Personal_Services,110.70275561396582,104.87545869284935
Spend (cardcash),income,0.011,0.003,47623,$300 expiration June vs. Sept states,Professional_&_Personal_Services,110.70275561396582,104.87545869284935
Spend (cardcash),ui,0.006,0.001,47623,$300 expiration June vs. Sept states,Professional_&_Personal_Services,110.70275561396582,104.87545869284935
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Other_Retail,143.97972211079886,150.34197084411002
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Other_Retail,143.97972211079886,150.34197084411002
Spend (cardcash),income,0.03,0.001,52094,UI onset (waiting),Other_Retail,143.97972211079886,150.34197084411002
Spend (cardcash),ui,0.022,0.001,52094,UI onset (waiting),Other_Retail,143.97972211079886,150.34197084411002
Spend (total),income,0.319,0.009,309077,FPUC expiration,Other_Retail,180.03837614655134,141.52060726898367
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Other_Retail,180.03837614655134,141.52060726898367
Spend (cardcash),income,0.018,0.001,309077,FPUC expiration,Other_Retail,180.03837614655134,141.52060726898367
Spend (cardcash),ui,0.013,0.001,309077,FPUC expiration,Other_Retail,180.03837614655134,141.52060726898367
Spend (total),income,0.305,0.017,249652,$300 onset,Other_Retail,192.24329092344206,122.15316158215863
Spend (total),ui,0.457,0.026,249652,$300 onset,Other_Retail,192.24329092344206,122.15316158215863
Spend (cardcash),income,0.032,0.002,249652,$300 onset,Other_Retail,192.24329092344206,122.15316158215863
Spend (cardcash),ui,0.048,0.003,249652,$300 onset,Other_Retail,192.24329092344206,122.15316158215863
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Other_Retail,204.28789305900446,141.12016022139684
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Other_Retail,204.28789305900446,141.12016022139684
Spend (cardcash),income,0.015,0.001,129293,$300 expiration Sept states,Other_Retail,204.28789305900446,141.12016022139684
Spend (cardcash),ui,0.02,0.002,129293,$300 expiration Sept states,Other_Retail,204.28789305900446,141.12016022139684
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Other_Retail,197.195165728458,135.45604581969653
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Other_Retail,197.195165728458,135.45604581969653
Spend (cardcash),income,0.014,0.003,121994,$300 expiration June states,Other_Retail,197.195165728458,135.45604581969653
Spend (cardcash),ui,0.013,0.002,121994,$300 expiration June states,Other_Retail,197.195165728458,135.45604581969653
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Other_Retail,238.5991247310972,135.45604581969653
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Other_Retail,238.5991247310972,135.45604581969653
Spend (cardcash),income,0.015,0.004,47623,$300 expiration June vs. Sept states,Other_Retail,238.5991247310972,135.45604581969653
Spend (cardcash),ui,0.008,0.002,47623,$300 expiration June vs. Sept states,Other_Retail,238.5991247310972,135.45604581969653
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Flights,4.271214184307699,21.998814013637425
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Flights,4.271214184307699,21.998814013637425
Spend (cardcash),income,0.002,0.001,52094,UI onset (waiting),Flights,4.271214184307699,21.998814013637425
Spend (cardcash),ui,0.001,0,52094,UI onset (waiting),Flights,4.271214184307699,21.998814013637425
Spend (total),income,0.319,0.009,309077,FPUC expiration,Flights,5.493640744191794,19.541207787638296
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Flights,5.493640744191794,19.541207787638296
Spend (cardcash),income,0,0,309077,FPUC expiration,Flights,5.493640744191794,19.541207787638296
Spend (cardcash),ui,0,0,309077,FPUC expiration,Flights,5.493640744191794,19.541207787638296
Spend (total),income,0.305,0.017,249652,$300 onset,Flights,7.039679215964418,23.99421182411108
Spend (total),ui,0.457,0.026,249652,$300 onset,Flights,7.039679215964418,23.99421182411108
Spend (cardcash),income,0,0.001,249652,$300 onset,Flights,7.039679215964418,23.99421182411108
Spend (cardcash),ui,0,0.001,249652,$300 onset,Flights,7.039679215964418,23.99421182411108
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Flights,19.644639564532913,19.1198658509941
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Flights,19.644639564532913,19.1198658509941
Spend (cardcash),income,0.002,0.001,129293,$300 expiration Sept states,Flights,19.644639564532913,19.1198658509941
Spend (cardcash),ui,0.003,0.001,129293,$300 expiration Sept states,Flights,19.644639564532913,19.1198658509941
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Flights,14.753556766053054,19.396937816126147
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Flights,14.753556766053054,19.396937816126147
Spend (cardcash),income,0.004,0.001,121994,$300 expiration June states,Flights,14.753556766053054,19.396937816126147
Spend (cardcash),ui,0.003,0.001,121994,$300 expiration June states,Flights,14.753556766053054,19.396937816126147
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Flights,17.69228381447697,19.396937816126147
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Flights,17.69228381447697,19.396937816126147
Spend (cardcash),income,0.006,0.002,47623,$300 expiration June vs. Sept states,Flights,17.69228381447697,19.396937816126147
Spend (cardcash),ui,0.004,0.001,47623,$300 expiration June vs. Sept states,Flights,17.69228381447697,19.396937816126147
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Restaurant,133.7739634851989,256.06001269691984
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Restaurant,133.7739634851989,256.06001269691984
Spend (cardcash),income,0.017,0.001,52094,UI onset (waiting),Restaurant,133.7739634851989,256.06001269691984
Spend (cardcash),ui,0.012,0.001,52094,UI onset (waiting),Restaurant,133.7739634851989,256.06001269691984
Spend (total),income,0.319,0.009,309077,FPUC expiration,Restaurant,216.63130218896578,245.85438471662954
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Restaurant,216.63130218896578,245.85438471662954
Spend (cardcash),income,0.01,0,309077,FPUC expiration,Restaurant,216.63130218896578,245.85438471662954
Spend (cardcash),ui,0.007,0,309077,FPUC expiration,Restaurant,216.63130218896578,245.85438471662954
Spend (total),income,0.305,0.017,249652,$300 onset,Restaurant,213.15521744060592,200.62187944456133
Spend (total),ui,0.457,0.026,249652,$300 onset,Restaurant,213.15521744060592,200.62187944456133
Spend (cardcash),income,0.013,0.001,249652,$300 onset,Restaurant,213.15521744060592,200.62187944456133
Spend (cardcash),ui,0.019,0.001,249652,$300 onset,Restaurant,213.15521744060592,200.62187944456133
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Restaurant,283.33341607939,229.09004151190734
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Restaurant,283.33341607939,229.09004151190734
Spend (cardcash),income,0.019,0.001,129293,$300 expiration Sept states,Restaurant,283.33341607939,229.09004151190734
Spend (cardcash),ui,0.026,0.001,129293,$300 expiration Sept states,Restaurant,283.33341607939,229.09004151190734
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Restaurant,278.9078548123656,246.05450461172273
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Restaurant,278.9078548123656,246.05450461172273
Spend (cardcash),income,0.02,0.002,121994,$300 expiration June states,Restaurant,278.9078548123656,246.05450461172273
Spend (cardcash),ui,0.018,0.002,121994,$300 expiration June states,Restaurant,278.9078548123656,246.05450461172273
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Restaurant,294.7748403860309,246.05450461172273
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Restaurant,294.7748403860309,246.05450461172273
Spend (cardcash),income,0.032,0.003,47623,$300 expiration June vs. Sept states,Restaurant,294.7748403860309,246.05450461172273
Spend (cardcash),ui,0.018,0.001,47623,$300 expiration June vs. Sept states,Restaurant,294.7748403860309,246.05450461172273
Spend (total),income,0.43,0.016,52094,UI onset (waiting),Clothing,26.954656831479003,75.40457747472372
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),Clothing,26.954656831479003,75.40457747472372
Spend (cardcash),income,0.007,0.001,52094,UI onset (waiting),Clothing,26.954656831479003,75.40457747472372
Spend (cardcash),ui,0.005,0,52094,UI onset (waiting),Clothing,26.954656831479003,75.40457747472372
Spend (total),income,0.319,0.009,309077,FPUC expiration,Clothing,45.463691846084686,68.45180460534031
Spend (total),ui,0.225,0.006,309077,FPUC expiration,Clothing,45.463691846084686,68.45180460534031
Spend (cardcash),income,0.008,0,309077,FPUC expiration,Clothing,45.463691846084686,68.45180460534031
Spend (cardcash),ui,0.006,0,309077,FPUC expiration,Clothing,45.463691846084686,68.45180460534031
Spend (total),income,0.305,0.017,249652,$300 onset,Clothing,45.34252143306439,53.699910162002944
Spend (total),ui,0.457,0.026,249652,$300 onset,Clothing,45.34252143306439,53.699910162002944
Spend (cardcash),income,0.006,0.001,249652,$300 onset,Clothing,45.34252143306439,53.699910162002944
Spend (cardcash),ui,0.009,0.001,249652,$300 onset,Clothing,45.34252143306439,53.699910162002944
Spend (total),income,0.269,0.016,129293,$300 expiration Sept states,Clothing,61.8117121021357,65.53362901463841
Spend (total),ui,0.357,0.022,129293,$300 expiration Sept states,Clothing,61.8117121021357,65.53362901463841
Spend (cardcash),income,0.005,0.001,129293,$300 expiration Sept states,Clothing,61.8117121021357,65.53362901463841
Spend (cardcash),ui,0.007,0.001,129293,$300 expiration Sept states,Clothing,61.8117121021357,65.53362901463841
Spend (total),income,0.348,0.028,121994,$300 expiration June states,Clothing,61.80802226643602,60.524397500743824
Spend (total),ui,0.317,0.027,121994,$300 expiration June states,Clothing,61.80802226643602,60.524397500743824
Spend (cardcash),income,0.006,0.001,121994,$300 expiration June states,Clothing,61.80802226643602,60.524397500743824
Spend (cardcash),ui,0.005,0.001,121994,$300 expiration June states,Clothing,61.80802226643602,60.524397500743824
Spend (total),income,0.402,0.04,47623,$300 expiration June vs. Sept states,Clothing,88.36022582464439,60.524397500743824
Spend (total),ui,0.224,0.023,47623,$300 expiration June vs. Sept states,Clothing,88.36022582464439,60.524397500743824
Spend (cardcash),income,0.004,0.002,47623,$300 expiration June vs. Sept states,Clothing,88.36022582464439,60.524397500743824
Spend (cardcash),ui,0.002,0.001,47623,$300 expiration June vs. Sept states,Clothing,88.36022582464439,60.524397500743824
Spend (total),income,0.43,0.016,52094,UI onset (waiting),on_us_creditcard_pmts,348.6984147504964,454.8316261462497
Spend (total),ui,0.312,0.012,52094,UI onset (waiting),on_us_creditcard_pmts,348.6984147504964,454.8316261462497
Spend (cardcash),income,0.041,0.005,52094,UI onset (waiting),on_us_creditcard_pmts,348.6984147504964,454.8316261462497
Spend (cardcash),ui,0.03,0.004,52094,UI onset (waiting),on_us_creditcard_pmts,348.6984147504964,454.8316261462497
Spend (total),income,0.319,0.009,309077,FPUC expiration,on_us_creditcard_pmts,512.9539025829333,453.6246033855897
Spend (total),ui,0.225,0.006,309077,FPUC expiration,on_us_creditcard_pmts,512.9539025829333,453.6246033855897
Spend (cardcash),income,0.038,0.003,309077,FPUC expiration,on_us_creditcard_pmts,512.9539025829333,453.6246033855897
Spend (cardcash),ui,0.027,0.002,309077,FPUC expiration,on_us_creditcard_pmts,512.9539025829333,453.6246033855897
Spend (total),income,0.305,0.017,249652,$300 onset,on_us_creditcard_pmts,569.5456388381623,418.73877719335155
Spend (total),ui,0.457,0.026,249652,$300 onset,on_us_creditcard_pmts,569.5456388381623,418.73877719335155
