design,apc,apc_total,apc share of total apc,spending_category,denominator,se,n_obs,spend_category_unemp,spend_category_emp
FPUC expiration,0.002,0.106,0.018867924528301886,Department_Stores,income,0,309077,12.930488128549559,17.08895773225429
FPUC expiration,0.002,0.106,0.018867924528301886,Transit_&_Ground_Transportation,income,0,309077,113.90194592270171,161.8186779519658
FPUC expiration,0.001,0.106,0.009433962264150943,Entertainment,income,0,309077,42.9865847173791,58.28970822419432
FPUC expiration,0.001,0.106,0.009433962264150943,Hotels_&_Rental_cars,income,0.001,309077,46.33461334011057,62.87094113660946
FPUC expiration,0.001,0.106,0.009433962264150943,schools,income,0.001,309077,14.514021618573683,11.655580293730532
FPUC expiration,0.001,0.106,0.009433962264150943,Drug_Stores,income,0,309077,22.467811791208653,27.947470581336255
FPUC expiration,0.001,0.106,0.009433962264150943,auto_loan_pmts,income,0,309077,73.30046372240848,82.6503871665559
FPUC expiration,0,0.106,0,Flights,income,0,309077,5.493640744191794,19.541207787638296
FPUC expiration,0,0.106,0,student_loan_pmts,income,0,309077,17.885640843344238,27.93569321187954
FPUC expiration,-0,0.106,-0,other_loan_pmts,income,0,309077,0.6765626346744638,0.30778696717359255
$300 onset,0.305,0.11,2.7727272727272725,total_spend,income,0.017,249652,4764.298200893296,4216.224015779508
$300 onset,0.207,0.11,1.8818181818181816,total_spend_cardcash,income,0.01,249652,2641.4438946304886,2455.5324990532295
$300 onset,0.11,0.11,1,total_categorized_spending_post_winsor,income,0.005,249652,1779.420693071444,1540.3098671681043
$300 onset,0.109,0.11,0.9909090909090909,sum of apcs,NA,NA,NA,NA,NA
$300 onset,0.093,0.11,0.8454545454545455,uncatergorized_spend,income,0.011,249652,2236.2353530232726,1913.0675102040818
$300 onset,0.032,0.11,0.2909090909090909,Other_Retail,income,0.002,249652,192.24329092344206,122.15316158215863
$300 onset,0.023,0.11,0.20909090909090908,Groceries,income,0.002,249652,328.43275830508173,249.21949526614767
$300 onset,0.02,0.11,0.18181818181818182,on_us_creditcard_pmts,income,0.005,249652,569.5456388381623,418.73877719335155
$300 onset,0.02,0.11,0.18181818181818182,off_us_creditcard_pmts,income,0.004,249652,461.16498210572706,430.3674904270987
$300 onset,0.019,0.11,0.17272727272727273,debt_payments,income,0.005,249652,873.1336533234175,798.4940965705871
$300 onset,0.013,0.11,0.11818181818181818,Restaurant,income,0.001,249652,213.15521744060592,200.62187944456133
$300 onset,0.011,0.11,0.09999999999999999,uncatergorized_spend_cardcash,income,0.002,249652,223.89678976668804,219.06343277929727
$300 onset,0.009,0.11,0.08181818181818182,Discount_Stores,income,0.001,249652,91.20322188365564,59.25024742268042
$300 onset,0.006,0.11,0.05454545454545455,Professional_&_Personal_Services,income,0.001,249652,84.26971695358728,82.92461119293078
$300 onset,0.006,0.11,0.05454545454545455,Clothing,income,0.001,249652,45.34252143306439,53.699910162002944
$300 onset,0.003,0.11,0.027272727272727275,Home_Improvement,income,0.001,249652,79.13557893370422,39.87994656006733
$300 onset,0.003,0.11,0.027272727272727275,Organizations_&_Institutions,income,0.001,249652,45.34289180648077,39.66742078687145
$300 onset,0.003,0.11,0.027272727272727275,Telecom,income,0.001,249652,117.12538175767617,107.29584557121818
$300 onset,0.002,0.11,0.01818181818181818,Entertainment,income,0,249652,46.13558319567056,45.23067620450242
$300 onset,0.002,0.11,0.01818181818181818,Drug_Stores,income,0,249652,22.66349799754361,29.157965916263414
