state_abb,month,all_first_payments
ME,2021-01-01,5216
ME,2021-02-01,3859
ME,2021-03-01,4845
ME,2021-04-01,4022
ME,2021-05-01,2246
ME,2021-06-01,2304
ME,2021-07-01,2182
ME,2021-08-01,1365
ME,2021-09-01,1628
MI,2020-01-01,45133
MI,2020-02-01,18403
MI,2020-03-01,28938
MI,2020-04-01,902017
MI,2020-05-01,674690
MI,2020-06-01,264244
MI,2020-07-01,113814
MI,2020-08-01,66246
MI,2020-09-01,35300
MI,2020-10-01,24618
MI,2020-11-01,28961
MI,2020-12-01,41216
MI,2021-01-01,40570
MI,2021-02-01,27251
MI,2021-03-01,26207
MI,2021-04-01,38669
MI,2021-05-01,39558
MI,2021-06-01,28452
MI,2021-07-01,22049
MI,2021-08-01,22062
MI,2021-09-01,15518
MN,2020-01-01,21169
MN,2020-02-01,10832
MN,2020-03-01,12783
MN,2020-04-01,49777
MN,2020-05-01,27671
MN,2020-06-01,10635
MN,2020-07-01,4732
MN,2020-08-01,2202
MN,2020-09-01,2618
MN,2020-10-01,1204
MN,2020-11-01,1321
MN,2020-12-01,1402
MN,2021-01-01,8906
MN,2021-02-01,13194
MN,2021-03-01,15708
MN,2021-04-01,21543
MN,2021-05-01,13408
MN,2021-06-01,12299
MN,2021-07-01,8037
MN,2021-08-01,7471
MN,2021-09-01,18771
MO,2020-01-01,11570
MO,2020-02-01,7898
MO,2020-03-01,20555
MO,2020-04-01,201168
MO,2020-05-01,88141
MO,2020-06-01,50626
MO,2020-07-01,47557
MO,2020-08-01,21608
MO,2020-09-01,16810
MO,2020-10-01,10012
MO,2020-11-01,8255
MO,2020-12-01,14209
MO,2021-01-01,12784
MO,2021-02-01,13033
MO,2021-03-01,11739
MO,2021-04-01,20209
MO,2021-05-01,14344
MO,2021-06-01,12341
MO,2021-07-01,7501
MO,2021-08-01,6383
MO,2021-09-01,3410
MS,2020-01-01,2186
MS,2020-02-01,1559
MS,2020-03-01,13404
MS,2020-04-01,117363
MS,2020-05-01,107488
MS,2020-06-01,63475
MS,2020-07-01,40025
MS,2020-08-01,18617
MS,2020-09-01,10010
MS,2020-10-01,8443
MS,2020-11-01,3329
MS,2020-12-01,5100
MS,2021-01-01,23654
MS,2021-02-01,11513
MS,2021-03-01,11540
MS,2021-04-01,14550
MS,2021-05-01,7689
MS,2021-06-01,7034
MS,2021-07-01,3602
MS,2021-08-01,1996
MS,2021-09-01,1295
MT,2020-01-01,4266
MT,2020-02-01,2157
MT,2020-03-01,1714
MT,2020-04-01,8906
MT,2020-05-01,7488
MT,2020-06-01,4295
MT,2020-07-01,2574
MT,2020-08-01,1815
MT,2020-09-01,688
MT,2020-10-01,726
MT,2020-11-01,2035
MT,2020-12-01,3281
